abv,image,name,official_content,origin,url,winery,year
30.0%,null,Jeptha Creed Apple Pie,null,null,https://distiller.com/spirits/jeptha-creed-apple-pie,"
USA
",
86.0%,null,Hill Billy American Bourbon,null,null,https://distiller.com/spirits/hill-billy-american-bourbon,"
South Carolina , USA
",1
40.0%,null,Hamilton,null,null,https://distiller.com/spirits/hamilton,"
Canada
",3
52.1%,null,Kilkerran 15 yr single cask,null,null,https://distiller.com/spirits/kilkerran-15-yr-single-cask,"
Cambeltown , Scotland
",15
46.0%,null,Whiskybase blended 18yr,null,null,https://distiller.com/spirits/whiskybase-blended-18yr,"
Scotland
",18
85.0%,null,NewRiff Bourbon,null,null,https://distiller.com/spirits/newriff-bourbon,"
Kentucky, USA
",
53.2%,null,Glendronach single cask 1994 (cask 1376),null,null,https://distiller.com/spirits/glendronach-single-cask-1994-cask-1376,"
Highlands, Scotland
",22
43.0%,null,Glenrothes,null,null,https://distiller.com/spirits/glenrothes,"
Speyside, Scotland
",1987
40.0%,null,Kirkland Single Malt Scotch 15 years Sherry Cask from Macallan,null,null,https://distiller.com/spirits/kirkland-single-malt-scotch-15-years-sherry-cask-from-macallan,"
Speyside, Scotland
",15
57.2%,null,Talisker 25 year old (2005 special release),null,null,https://distiller.com/spirits/talisker-25-year-old-2005-special-release,"
Skye, Scotland
",25
%,null,Ainsley Brae oak casks,null,null,https://distiller.com/spirits/ainsley-brae-oak-casks,"
Scotland
",
60.9%,null,GlenAllachie 2007 11 Year Single Cask #1856 Port Pipe,null," Speyside, Scotland
",https://distiller.com/spirits/glenallachie-2007-11-year-single-cask-1856-port-pipe,"
GlenAllachie ",11 Year
48.3%,https://ip.distiller.com/images/spirits/98aac1a0-25ca-0138-0356-426b1b425629/big_peat_black_edition_27_year_tile.jpg?1580415076,Big Peat 27 Year Black Edition,"Big Peat 27 Year Black Edition is the third and final whisky in Douglas Laing's Big Peat Vintage Series. The Series was first created as a way to explore how a blend of aged single cask single malts would change over a three year period. It is bottled at 48.3%, non-chill filtered with no color added. Only 3,000 bottles were released globally as of January 2020. "," Scotland
",https://distiller.com/spirits/big-peat-27-year-black-edition,"
Big Peat ",27 Year
35.0%,null,"Texas Silver Star
Texas Honey Liqueur",null,null,https://distiller.com/spirits/texas-silver-star-texas-honey-liqueur,"
Texas, USA
",
57.5%,null,Knob Creek Rye Single Barrel Select,null,null,https://distiller.com/spirits/knob-creek-rye-single-barrel-select,"
Kentucky, USA
",
54.3%,null,Cameronbridge 27 Year (Old Particular),null,null,https://distiller.com/spirits/cameronbridge-27-year-old-particular,"
Scotland
",27
52.8%,null,Bowmore 21 Year (Old Malt Cask),null,null,https://distiller.com/spirits/bowmore-21-year-old-malt-cask,"
Islay, Scotland
",21
58.0%,null,Whistle Pig Rye Whiskey Aged 10 Years,null,null,https://distiller.com/spirits/whistle-pig-rye-whiskey-aged-10-years,"
Vermont, USA
",10
46.0%,null,Armorik 10 ans,null,null,https://distiller.com/spirits/armorik-10-ans,"
Breton, France
",10
35.0%,null,Bubba's Secret Stills,null,null,https://distiller.com/spirits/bubba-s-secret-stills,"
USA
",
63.0%,null,Whistle Pig Old World Rye,null,null,https://distiller.com/spirits/whistle-pig-old-world-rye,"
Vermont , USA
",12
43.0%,null,Canadian Mist Black Diamond,null,null,https://distiller.com/spirits/canadian-mist-black-diamond,"
Ontario , Canada
",
40.0%,null,The Famous Grouse Ruby Cask,null,null,https://distiller.com/spirits/the-famous-grouse-ruby-cask,"
Scotland
",
90.0%,null,Buffalo Trace 8yr Single Barrel (Waterloo Crossroads Hy-Vee pick),null,null,https://distiller.com/spirits/buffalo-trace-8yr-single-barrel-waterloo-crossroads-hy-vee-pick,"
Kentucky, USA
",8
45.0%,null,Cardinal Spirits Straight Bourbon Whiskey,null,null,https://distiller.com/spirits/cardinal-spirits-straight-bourbon-whiskey,"
Indiana, USA
",3
47.5%,null,Mischief Straight Rye Whiskey,null,null,https://distiller.com/spirits/mischief-straight-rye-whiskey,"
Pacific Northwest , USA
",
45.0%,null,Twelve 33 Restitution Rye Whiskey,null,null,https://distiller.com/spirits/twelve-33-restitution-rye-whiskey,"
USA
",
45.0%,null,Twelve 33 Big Six Bourbon,null,null,https://distiller.com/spirits/twelve-33-big-six-bourbon,"
USA
",
40.0%,null,Blanton’s Black,null,null,https://distiller.com/spirits/blanton-s-black,"
Japan
",
58.0%,null,Southern Tier Barrel Strength Single Cask Bourbon,null,null,https://distiller.com/spirits/southern-tier-barrel-strength-single-cask-bourbon,"
Western New York, USA
",
40.0%,null,Printer's,null,null,https://distiller.com/spirits/printer-s,"
Czech Republic
",
50.0%,null,Old Blue Ribbon Kentucky Straight Bourbon,null,null,https://distiller.com/spirits/old-blue-ribbon-kentucky-straight-bourbon,"
Eminence Kentucky, USA
",12
40.0%,null,Old Fitzgerald Sour Mash,null,null,https://distiller.com/spirits/old-fitzgerald-sour-mash,"
Kentucky , USA
",
55.1%,null,Uncle Nearest 1820 US-12,null,null,https://distiller.com/spirits/uncle-nearest-1820-us-12,"
Tennessee, USA
",11
50.5%,null,Austin Nichols Wild Turkey 101,null,null,https://distiller.com/spirits/austin-nichols-wild-turkey-101,"
Kentucky, USA
",
54.4%,null,Springbank 19 Single cask refill sherry,null,null,https://distiller.com/spirits/springbank-19-single-cask-refill-sherry,"
Cambeltown , Scotland
",19
50.1%,null,GlenDronach 28yo 1990 #2623 Oloroso Butt,null,null,https://distiller.com/spirits/glendronach-28yo-1990-2623-oloroso-butt,"
Highland, Scotland
",28
80.0%,null,Basil Hayden’s Points of Interest,null,null,https://distiller.com/spirits/basil-hayden-s-points-of-interest,"
Clermont, KY, USA
",
49.3%,null,GlenDronach 26yo 1992 #8596 Port Pipe,null,null,https://distiller.com/spirits/glendronach-26yo-1992-8596-port-pipe,"
Highland, Scotland
",26
51.2%,null,GlenDronach 25yo 1993 #416 Oloroso Butt,null,null,https://distiller.com/spirits/glendronach-25yo-1993-416-oloroso-butt,"
Highland, Scotland
",25
52.5%,null,GlenDronach 23yo 1995 #3040 PX Puncheon,null,null,https://distiller.com/spirits/glendronach-23yo-1995-3040-px-puncheon,"
Highland, Scotland
",23
56.3%,null,GlenDronach 13yo 2006 #3343 PX Puncheon,null,null,https://distiller.com/spirits/glendronach-13yo-2006-3343-px-puncheon,"
Highland, Scotland
",13
51.9%,null,Benriach 1997 21 year Virgin Oak #7858,null,null,https://distiller.com/spirits/benriach-1997-21-year-virgin-oak-7858,"
Speyside, Scotland
",21
54.9%,null,Arran St. Emilion,null,null,https://distiller.com/spirits/arran-st-emilion,"
Scotland
",10
45.0%,null,Caol Ila 2005 Connoisseur’s Choice Hermitage Finish (Gordon & MacPhail),null,null,https://distiller.com/spirits/caol-ila-2005-connoisseur-s-choice-hermitage-finish-gordon-macphail,"
Islay , Scotland
",14
56.7%,null,GlenDronach 13yo 2006 #3359 Oloroso Puncheon,null,null,https://distiller.com/spirits/glendronach-13yo-2006-3359-oloroso-puncheon,"
Highland, Scotland
",13
40.0%,null,Aristocrat whiskey,null,null,https://distiller.com/spirits/aristocrat-whiskey,"
Kentucky, USA
",
46.0%,null,Tasmanian,null,null,https://distiller.com/spirits/tasmanian,"
Launceston , Australia
",
48.5%,null,Kilchoman UK Small Batch,null,null,https://distiller.com/spirits/kilchoman-uk-small-batch,"
Islay, Scotland
",
46.0%,null,Nikka Black - Deep Blend - Extra Sweet,null,null,https://distiller.com/spirits/nikka-black-deep-blend-extra-sweet,"
Japan
",
46.0%,null,Glenfarclas SPRINGS,null,null,https://distiller.com/spirits/glenfarclas-springs,"
Speyside, Highlands, Scotland
",
58.4%,null,Jimmy Red Straight Bourbon Whiskey,null,null,https://distiller.com/spirits/jimmy-red-straight-bourbon-whiskey,"
Charleston, SC, USA
",2
58.3%,null,Barrel Bourbon,null,null,https://distiller.com/spirits/barrel-bourbon,"
Kentucky , USA
",5
45.0%,null,Nine Banded Wheated Bourbon,null,null,https://distiller.com/spirits/nine-banded-wheated-bourbon,"
Texas, USA
",
46.0%,null,Blacks 12 Year old Single Malt Irish Whiskey,null,null,https://distiller.com/spirits/blacks-12-year-old-single-malt-irish-whiskey,"
Ireland
",12
59.0%,null,Saint Cloud Batch 2,null,null,https://distiller.com/spirits/saint-cloud-batch-2,"
Kentucky , USA
",4
63.2%,null,Willett Family Estate 14 year bourbon 8158,null,null,https://distiller.com/spirits/willett-family-estate-14-year-bourbon-8158,"
Kentucky, USA
",14
43.0%,null,Black Ops Irish Whiskey,null,null,https://distiller.com/spirits/black-ops-irish-whiskey,"
Ireland
",
46.0%,null,Barr an Uisce 1803 16 Year Old,null,null,https://distiller.com/spirits/barr-an-uisce-1803-16-year-old,"
Ireland
",16
46.0%,null,Palace Bar Fourth Estate Single Malt,null,null,https://distiller.com/spirits/palace-bar-fourth-estate-single-malt,"
Ireland
",
46.0%,null,Palace Bar 12 Year Old Single Malt,null,null,https://distiller.com/spirits/palace-bar-12-year-old-single-malt,"
Ireland
",12
57.0%,null,An Fear Grinn 16 Year Old,null,null,https://distiller.com/spirits/an-fear-grinn-16-year-old,"
Ireland
",16
40.0%,null,Ballydoyle Irish Whiskey,null,null,https://distiller.com/spirits/ballydoyle-irish-whiskey,"
Ireland
",
46.0%,null,Palace Bar 14 Year Old Single Malt Three Generations Batch,null,null,https://distiller.com/spirits/palace-bar-14-year-old-single-malt-three-generations-batch,"
Ireland
",14
80.0%,null,Bearcat bourbon,null,null,https://distiller.com/spirits/bearcat-bourbon,"
Missouri, USA
",
50.1%,null,Teeling Vintage Reserve Single Cask 28 Year Old,null,null,https://distiller.com/spirits/teeling-vintage-reserve-single-cask-28-year-old,"
Ireland
",28
54.4%,null,Ardbeg 20y Old and Rare 1991,null,null,https://distiller.com/spirits/ardbeg-20y-old-and-rare-1991,"
Islay, Scotland
",20
56.6%,null,Dufftown 2008 10 Year Single Barrel Cask Strength (John Milroy Selection),null,null,https://distiller.com/spirits/dufftown-2008-10-year-single-barrel-cask-strength-john-milroy-selection,"
Speyside, Scotland
",10
%,null,Iron Smoke Casket Strength,null,null,https://distiller.com/spirits/iron-smoke-casket-strength,"
USA
",2
54.0%,null,Coopers choice kilnaughton Rioja cask,null,null,https://distiller.com/spirits/coopers-choice-kilnaughton-rioja-cask,"
Islay, Scotland
",
43.0%,null,Chivas Regal 12 Year (bottled 1970s),null,null,https://distiller.com/spirits/chivas-regal-12-year-bottled-1970s,"
Scotland
",12
58.9%,null,Bunnahabhain 9 Year Small Batch (Cadenhead's),null," Scotland
",https://distiller.com/spirits/bunnahabhain-9-year-small-batch-cadenhead-s,"
Cadenhead Small Batch ",9 Year
40.0%,null,The Glenlivet 12 Year Old,null,null,https://distiller.com/spirits/the-glenlivet-12-year-old,"
Speyside, Scotland
",12
40.0%,null,Mountain Top No Bull Bourbon,null,null,https://distiller.com/spirits/mountain-top-no-bull-bourbon,"
Pennsylvania , USA
",
40.0%,null,Bua Irish Whiskey Small Batch,null,null,https://distiller.com/spirits/bua-irish-whiskey-small-batch,"
Ireland
",
57.9%,null,Edradour Oloroso Cask -Spec’s,null,null,https://distiller.com/spirits/edradour-oloroso-cask-spec-s,"
Highland, Scotland
",11
%,null,Golden Moon Gun Fighter American Bourbon Double Cask,null,null,https://distiller.com/spirits/golden-moon-gun-fighter-american-bourbon-double-cask,"
USA
",
100.0%,null,John j bowman,null,null,https://distiller.com/spirits/john-j-bowman,"
USA
",
46.0%,null,Teeling Trois Rivieres,null,null,https://distiller.com/spirits/teeling-trois-rivieres,"
Ireland
",
40.0%,null,Paul Devoille Scotch Whisky Fine Sélection,null,null,https://distiller.com/spirits/paul-devoille-scotch-whisky-fine-selection,"
France
",
%,null,Battlefield Very Small Batch Bourbon,null,null,https://distiller.com/spirits/battlefield-very-small-batch-bourbon,"
USA
",
%,null,Battlehill MacDuff 9 years,null,null,https://distiller.com/spirits/battlehill-macduff-9-years,"
Scotland
",9
%,null,Riverbourne Supremacy,null,null,https://distiller.com/spirits/riverbourne-supremacy,"
Australia
",
%,null,Irish Single Malt 14 Year,null,null,https://distiller.com/spirits/irish-single-malt-14-year,"
Ireland
",
47.0%,https://ip.distiller.com/images/spirits/2a3815b0-213d-0138-579f-4a27201caf8a/bbuffalo_trace_kosher_wheat_tile.jpg?1587089295,Buffalo Trace Kosher Wheat Recipe Straight Bourbon,"Buffalo Trace Kosher Wheat Recipe is one of three Kosher whiskey releases from Buffalo Trace Distillery, a limited edition annual release expected to hit shelves after Passover ends in 2020. The certified Kosher whiskey was made with the guidance of the Chicago Rabbinical Council. In 2012, new American oak Kosher barrels were sold to a non-Jewish executive and then filled, in this case with a wheat recipe bourbon mash bill. In 2020, the bottling lines were flushed to ensure non-Kosher spirit would not be in contact with the matured bourbon. This allocated release will be sold before Passover 2021 begins with a new release to follow after the Jewish holiday."," Kentucky, USA
",https://distiller.com/spirits/buffalo-trace-kosher-wheat-recipe-straight-bourbon,"
Buffalo Trace ",NAS
49.3%,null,Teeling Innis and Gunn Stout Cask,null,null,https://distiller.com/spirits/teeling-innis-and-gunn-stout-cask,"
Ireland
",
43.0%,null,John Emerald Purveyor’s Series Double Wood Rye,null,null,https://distiller.com/spirits/john-emerald-purveyor-s-series-double-wood-rye,"
Alabama, USA
",
46.0%,null,Tomatin 18,null,null,https://distiller.com/spirits/tomatin-18,"
Highland, Scotland
",18
63.3%,null,Willett 6 years single barrel straight Kentucky bourbon,null,null,https://distiller.com/spirits/willett-6-years-single-barrel-straight-kentucky-bourbon,"
USA
",6
56.6%,https://ip.distiller.com/images/spirits/49fbbc90-2123-0138-1dff-12285336d501/midleton_dair_ghaelach_knockrath_forest_tile.jpg?1579910321,Midleton Dair Ghaelach Knockrath Forest,"Midleton Dair Ghaelach Knockrath Forest is the third release in the brand's native Irish oak series. To create this release, single pot still whiskeys ranging in age from 13-26 years old which matured primarily in American oak ex-bourbon barrels were selected. Irish oak was harvested from the Knockrath Forest located in Co. Wicklow. Then the oak traveled to Spain and was made into staves which air-dried for 15 months. From these oak staves, hogshead casks were made and toasted. This whiskey then finished aging in these virgin Irish oak hogsheads for two years. The whiskey is bottled at cask strength with its ABV ranging from 56.1-56.6%. Available as of January 2020 in Ireland, UK, France, US and China."," Ireland
",https://distiller.com/spirits/midleton-dair-ghaelach-knockrath-forest,"
Midleton ",NAS
47.1%,null,North of Scotland 1970 41 Year (Finest Whisky),null,null,https://distiller.com/spirits/north-of-scotland-1970-41-year-finest-whisky,"
Lowlands, Scotland
",41
44.0%,null,Downtown Toodeloo Rock and Rye,null,null,https://distiller.com/spirits/downtown-toodeloo-rock-and-rye,"
USA
",
56.8%,null,Teeling Single Cask Merlot Cask Finish,null,null,https://distiller.com/spirits/teeling-single-cask-merlot-cask-finish,"
Ireland
",
%,null,Black Bottle Scotch,null,null,https://distiller.com/spirits/black-bottle-scotch,"
Scotland
",
46.0%,null,Longrow 21 2019,null,null,https://distiller.com/spirits/longrow-21-2019,"
Cambeltown , Scotland
",21
47.0%,null,Elijah Craig Small Batch Kentucky Straight Bourbon,null,null,https://distiller.com/spirits/elijah-craig-small-batch-kentucky-straight-bourbon,"
Bardstown Kentucky , USA
",
55.5%,null,Teeling Single Cask Madeira Cask Finish,null,null,https://distiller.com/spirits/teeling-single-cask-madeira-cask-finish,"
Ireland
",
54.9%,null,Teeling Single Cask Calvados,null,null,https://distiller.com/spirits/teeling-single-cask-calvados,"
Ireland
",
52.5%,null,Teeling Spirit of Dublin Poitin,null,null,https://distiller.com/spirits/teeling-spirit-of-dublin-poitin,"
Ireland
",
43.0%,null,Tormore Connoisseurs Choice,null,null,https://distiller.com/spirits/tormore-connoisseurs-choice,"
Speyside, Scotland
",14
46.0%,null,Teeling Silk Road Ningxia Wine Cask,null,null,https://distiller.com/spirits/teeling-silk-road-ningxia-wine-cask,"
Ireland
",
53.85%,null,Barrell Bourbon Single Barrel #E520 (The Austin Shaker),null,null,https://distiller.com/spirits/barrell-bourbon-single-barrel-e520-the-austin-shaker,"
(bottled in) Kentucky, USA
",14 Year
45.0%,null,Makers mark 2011 keeneland 75 years,null,null,https://distiller.com/spirits/makers-mark-2011-keeneland-75-years,"
Kentucky, USA
",9
54.9%,null,Battlehill at Bunnahabhain,null,null,https://distiller.com/spirits/battlehill-at-bunnahabhain,"
I slay, Scotland
",6
